Accident ID,Date,Time,Location,Latitude,Longitude,Weather Condition,Road Condition,Vehicles Involved,Casualties,Cause
b0dd6f57,19-04-2023,06:39,"Mumbai, India",13.488432,-73.290682,Snow,Snowy,5,7,Reckless Driving
debfad09,17-01-2023,02:47,"S?œo Paulo, Brazil",-37.798317,-32.244242,Clear,Icy,4,1,Drunk Driving
6d69aa36,09-04-2024,02:55,"Sydney, Australia",33.767869,104.869018,Rain,Snowy,1,7,Reckless Driving
425bb1f0,10-10-2023,11:23,"Tokyo, Japan",-0.378031,-165.825855,Storm,Wet,4,0,Drunk Driving
90d5cf62,02-01-2023,12:07,"Beijing, China",41.254879,-30.776959,Storm,Snowy,3,9,Reckless Driving
24d3501f,02-04-2023,10:57,"Paris, France",-85.766268,-20.271304,Fog,Icy,2,6,Drunk Driving
0f1ed7d1,11-07-2023,08:34,"Mumbai, India",-24.046032,-4.414578,Clear,Under Construction,4,8,Reckless Driving
82353f3e,26-05-2024,19:06,"Mumbai, India",48.77465,-131.30627,Rain,Icy,4,5,Weather Conditions
3ab2d6f6,23-10-2023,19:47,"London, UK",-55.335689,152.606359,Fog,Wet,2,9,Reckless Driving
6.14E+09,15-07-2024,02:33,"Toronto, Canada",24.566435,-75.913198,Storm,Snowy,1,7,Mechanical Failure
b0b13d4b,09-11-2024,23:31,"Toronto, Canada",-59.047194,57.831011,Clear,Under Construction,1,1,Weather Conditions
8694a279,14-09-2023,20:11,"Berlin, Germany",-31.825114,-73.647462,Fog,Wet,3,9,Drunk Driving
1dfd0097,01-01-2023,17:12,"Beijing, China",1.406127,-32.244107,Hail,Icy,5,9,Weather Conditions
6c97348c,05-01-2023,18:41,"Mumbai, India",1.55188,-169.953341,Snow,Snowy,4,6,Drunk Driving
2db70f77,07-12-2024,19:24,"Toronto, Canada",49.206865,-111.184284,Hail,Gravel,3,10,Mechanical Failure
24cdeeb9,09-08-2024,23:39,"S?œo Paulo, Brazil",-39.332739,0.991049,Fog,Under Construction,3,2,Speeding
68ab5a6b,29-11-2024,08:16,"S?œo Paulo, Brazil",51.568285,-22.209768,Clear,Gravel,3,3,Speeding
acfb6bcc,30-12-2023,17:57,"Tokyo, Japan",-59.799586,134.326268,Snow,Icy,1,1,Speeding
552448f0,01-07-2024,19:25,"Tokyo, Japan",-19.00646,-52.779439,Rain,Gravel,5,9,Drunk Driving
d4af2e94,03-02-2023,03:04,"S?œo Paulo, Brazil",0.520167,-170.05232,Rain,Gravel,5,3,Drunk Driving
78d1fca8,08-07-2024,10:54,"London, UK",41.583094,34.483181,Hail,Dry,5,7,Mechanical Failure
711ca10d,06-03-2023,10:17,"Beijing, China",14.023021,13.166353,Snow,Gravel,2,1,Distracted Driving
07a19dbc,22-01-2023,08:11,"Toronto, Canada",-35.515747,-65.785699,Fog,Snowy,1,4,Reckless Driving
0d628b15,20-10-2024,21:32,"Mumbai, India",-45.421121,-142.479166,Clear,Icy,2,5,Speeding
a17755ed,26-03-2024,11:37,"Tokyo, Japan",-46.1074,156.13629,Hail,Dry,2,2,Distracted Driving
87bd34a6,24-07-2024,19:32,"S?œo Paulo, Brazil",-37.075082,-3.632071,Hail,Dry,2,4,Mechanical Failure
6f814599,15-11-2023,08:52,"Tokyo, Japan",0.564118,-96.03814,Hail,Snowy,1,10,Drunk Driving
03e3a796,17-06-2024,03:26,"Paris, France",39.311402,-103.818156,Rain,Dry,2,6,Drunk Driving
d0028b49,14-12-2024,15:40,"Mumbai, India",13.419264,-176.27762,Snow,Gravel,3,0,Mechanical Failure
25e09923,15-04-2023,15:09,"Beijing, China",-77.18038,38.151535,Hail,Wet,4,3,Distracted Driving
bed2c6c4,17-09-2024,00:34,"Beijing, China",78.721562,33.39283,Snow,Gravel,2,7,Reckless Driving
74740d58,18-12-2024,08:24,"New York, USA",-59.229291,15.139089,Storm,Under Construction,4,8,Drunk Driving
